INFO  - 2014-03-10 16:03:14.053; org.apache.solr.spelling.suggest.SolrSuggester; build()
INFO  - 2014-03-10 16:03:14.062; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2014-03-10 16:03:14.063; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@3717ee94[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2014-03-10 16:04:04.858; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={indexInfo=false&_=1394492644848&wt=json} status=0 QTime=1 
INFO  - 2014-03-10 16:04:05.377; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/system params={_=1394492644931&wt=json} status=0 QTime=437 
INFO  - 2014-03-10 16:06:00.860; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[SOLR1000 (1462231641061588992)]} 0 182
INFO  - 2014-03-10 16:06:00.953; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[3007WFP (1462231641296470016)]} 0 13
INFO  - 2014-03-10 16:06:00.984; org.apache.solr.update.DirectUpdateHandler2; start commit{,optimize=false,openSearcher=true,waitSearcher=true,expungeDeletes=false,softCommit=false,prepareCommit=false}
INFO  - 2014-03-10 16:06:02.617; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=2
	commit{dir=NRTCachingDirectory(NIOFSDirectory@/Users/fraferra/solr-4.7.0/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/Users/fraferra/solr-4.7.0/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
	commit{dir=NRTCachingDirectory(NIOFSDirectory@/Users/fraferra/solr-4.7.0/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/Users/fraferra/solr-4.7.0/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_2,generation=2}
INFO  - 2014-03-10 16:06:02.618; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 2
INFO  - 2014-03-10 16:06:02.636; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@1514d662[collection1] main
INFO  - 2014-03-10 16:06:02.637; org.apache.solr.update.DirectUpdateHandler2; end_commit_flush
INFO  - 2014-03-10 16:06:02.638; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@1514d662[collection1] main{StandardDirectoryReader(segments_2:3:nrt _0(4.7):C2)}
INFO  - 2014-03-10 16:06:02.638; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2014-03-10 16:06:02.638; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@1514d662[collection1] main{StandardDirectoryReader(segments_2:3:nrt _0(4.7):C2)}
